longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,Predicted_House_Value
-118.39,34.12,29,6447,1012.0,2184,960,8.2816,<1H OCEAN,473497.7335810724
-120.42,34.89,24,2020,307.0,855,283,5.0099,<1H OCEAN,212274.7098947979
-118.45,34.25,36,1453,270.0,808,275,4.3839,<1H OCEAN,208854.31899469497
-118.1,33.91,35,1653,325.0,1072,301,3.2708,<1H OCEAN,164707.32037085693
-117.07,32.77,38,3779,614.0,1495,614,4.3529,NEAR OCEAN,209070.99260868246
-118.04,33.93,35,1805,387.0,1505,366,4.1667,<1H OCEAN,171667.4538815997
-122.27,37.83,49,1655,366.0,754,329,1.375,NEAR BAY,122219.7737537415
-122.26,37.46,26,5067,750.0,1996,728,7.0001,NEAR OCEAN,432587.9805023719
-122.03,37.36,16,2697,803.0,1369,723,4.4699,<1H OCEAN,288017.9630618271
-117.61,33.43,24,2303,399.0,851,379,3.9875,NEAR OCEAN,291476.95851869904
-118.32,34.06,36,3239,722.0,1383,612,4.5918,<1H OCEAN,414522.5218205881
-121.23,37.96,44,2204,473.0,1277,435,1.5539,INLAND,72790.23423658503
-121.2,37.81,26,395,74.0,193,72,7.3718,INLAND,233053.355648265
-121.91,37.24,24,5046,1001.0,2449,968,4.7118,<1H OCEAN,280837.5689394857
-118.48,34.28,35,2132,368.0,1128,341,5.3107,<1H OCEAN,232063.43027416602
-117.65,34.1,44,1526,337.0,831,326,3.0284,INLAND,127202.25350683852
-121.59,39.82,12,1958,369.0,875,354,2.3507,INLAND,87909.0347929187
-118.97,35.41,36,1896,315.0,937,303,3.996,INLAND,97626.34174745537
-118.06,33.88,17,7187,1073.0,3844,1068,6.5901,<1H OCEAN,328502.93217585015
-118.39,33.85,24,4373,871.0,1830,824,5.7128,<1H OCEAN,403286.4712025423
-117.98,33.73,18,3833,,2192,996,3.4679,<1H OCEAN,176341.5853859544
-118.32,33.79,35,2924,658.0,1675,602,3.8287,<1H OCEAN,300857.73857143277
-120.27,34.72,14,1289,277.0,693,237,3.2569,<1H OCEAN,191531.76174298383
-119.65,36.33,52,1257,257.0,624,243,2.3523,INLAND,72332.67547937644
-119.86,36.82,12,1488,253.0,675,223,4.7622,INLAND,121355.19942221911
